Compound,Geometry,BM,TM,BMH,TMH,Eg,Source
Naphthalene,Linear,242,434,480,574,3.97,malloci2007
Anthracene,Linear,377,677,750,898,2.72,malloci2007
Tetracene,Linear,512,920,1020,1222,2.35,malloci2007
Pentacene,Linear,647,1163,1290,1546,1.85,malloci2007
Hexacene,Linear,782,1406,1560,1870,1.35,xu2021
Heptacene,Linear,917,1649,1830,2194,1.00,xu2021
Octacene,Linear,1052,1892,2100,2518,0.50,naghavi2011
Phenanthrene,Angular,411,711,705,855,3.55,malloci2007
Chrysene,Angular,498,858,850,1022,3.10,malloci2007
Picene,Angular,585,1005,995,1189,2.75,malloci2007
Pyrene,Compact,507,887,900,1090,3.53,malloci2007
Perylene,Compact,562,982,995,1200,3.15,malloci2007
Benzopyrene,Compact,617,1077,1090,1310,2.90,malloci2007
Coronene,Circular,540,972,1080,1296,3.54,malloci2007
Circumcoronene,Circular,720,1296,1440,1728,2.80,malloci2007
Ovalene,Oval,503,883,880,1070,2.88,malloci2007
Circumovalene,Oval,683,1195,1190,1445,2.50,malloci2007
Triphenylene,Other,435,747,740,888,3.40,malloci2007
Dibenzopyrene,Other,590,1010,1000,1200,2.85,malloci2007
Anthanthrene,Other,555,950,940,1130,3.00,malloci2007
Benzoanthracene,Other,490,840,830,998,3.20,malloci2007
Dibenzoanthracene,Other,565,968,960,1152,2.95,malloci2007
Pentaphene,Other,630,1078,1070,1284,2.70,malloci2007
Tetraphene,Other,505,865,860,1032,3.10,malloci2007
Benzofluoranthene,Other,560,960,950,1140,3.30,malloci2007
Dibenzopyrene2,Other,480,820,810,972,3.45,malloci2007
Corannulene,Other,575,985,980,1176,3.00,malloci2007
Fluoranthene,Other,520,890,885,1062,3.20,malloci2007
Acephenanthrylene,Other,535,905,900,1080,3.15,malloci2007
